post_title,post_title_citation,author_name,author_name_citation,post_date,post_date_citation,post_text,post_text_citation,post_link,post_link_citation,salary_min_usd,salary_min_usd_citation,salary_max_usd,salary_max_usd_citation,relevance_score,relevance_score_citation,relevance_notes,relevance_notes_citation,salary_notes,salary_notes_citation
THANK YOU FOR ALL THE APPLICATIONS - CLOSED candidates most aligned will be contacted,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,Michele Marques,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,1d,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,"THANK YOU FOR ALL THE APPLICATIONS - CLOSED (candidates most aligned will be contacted)

💰 $80K–$130K USD + Equity | Remote from LATAM
Startups are hiring Software Engineers and iOS Engineers in LATAM.
Here are 2 roles currently open:


👨💻 LATAM Software Engineer
💰 $80K–$120K USD + Equity
🌎 Remote (LATAM)
Tech stack includes modern backend architecture, cloud infrastructure, and scalable systems.
Apply here:




📱 LATAM iOS Engineer
💰 $90K–$130K USD + Equity
🌎 Remote (LATAM)
Build mobile products used by global users inside a fast-growing startup.
Apply here:




If you're a senior engineer based in LATAM, this could be a great opportunity.
💬 Comment “LATAM” and I’ll send more details.
And feel free to tag a great developer.",https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,80000,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,120000,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,5,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,Remote LATAM role with USD salary. Clear salary range provided.,https://www.linkedin.com/posts/michelemarquessilva_latamjobs-remoteengineering-softwareengineer-activity-7435068270631612418-JAHv,,
Business Development Associate from,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,Joshua Kain,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,2d,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,": Business Development Associate from 


Comp Structure:

💰 $2,200 – $3,000 USD monthly (flexible based on experience)
🕒 Full-time (40 hours per week)
⏰ 10:00 AM – 6:00 PM EST
📍 Remote (LATAM)

We’re looking for someone who owns pipeline growth and is comfortable having real conversations with investors.

You’ll be responsible for:

• Making outbound calls to accredited investors
• Following up consistently with warm leads
• Qualifying investors based on capital criteria
• Booking meetings directly onto leadership calendars
• Managing CRM activity and pipeline tracking
• Executing disciplined follow-up sequences
• Representing the firm with confidence and credibility

If you’re confident speaking with investors and want to be directly tied to capital growth. apply below.

Link in the comments.",https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,2200,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,3000,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,5,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,Remote LATAM role with USD salary. Clear salary range provided.,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h,Monthly salary.,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7434956174476615680-2G7h
Remote Job Opportunity  Virtual Assistant VA  Social Media  Brand Specialist,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,Remote Latinos,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,2d,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,"Remote Job Opportunity – Virtual Assistant (VA) | Social Media & Brand Specialist

🌎 Location: LATAM (Remote)
 🗓️ Schedule: Monday–Friday, 8AM–5PM PST (part-time friendly)
 💰 Compensation: $900–$1,200 USD/month

We’re hiring a charismatic and creative Virtual Assistant to lead B2B content, Instagram prospecting, and brand representation. This role is perfect for someone who enjoys being on camera, building community, and driving real engagement.

🎯 Key Responsibilities
- Create and curate engaging Instagram content
- Edit videos using CapCut Pro
- Represent the brand on camera with confidence and energy
- Drive follower growth and warm community engagement
- Analyze campaign performance and optimize content
- Maintain a consistent brand voice across platforms

✅ Requirements
- Proven experience as a VA or Social Media Specialist (Instagram expert)
- Strong on-camera presence
-  Advanced video editing skills
- Deep understanding of trends and community building
- Detail-oriented and proactive multitasker
- Passion for social impact and B2B storytelling
If you're ready to shine and grow with an expanding brand, apply now.

👉 Apply following these instructions:
Bilingual Executive & Personal Assistant (Remote) | Social Media, Projects & Events Support | Yoga Teacher",https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,900,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,1200,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,5,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,Remote LATAM role with USD salary. Clear salary range provided.,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p,Monthly salary.,https://www.linkedin.com/posts/remote-latinos_virtualassistant-socialmediajobs-remotelatam-activity-7434681996246724609-ng_p
Digital Marketing  Automation Specialist from,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,Joshua Kain,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,1d,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,": Digital Marketing & Automation Specialist from 


Comp Structure:

💰 $1,600 – $2,200 USD monthly
🕒 Full-time (40 hours per week)
📍 Remote (LATAM)

Virtual Wizards is hiring a Digital Marketing & Automation Specialist on behalf of one of our clients in the Property Management industry.

We’re looking for someone who moves fast and executes. If you enjoy launching campaigns, building funnels, and creating marketing automations instead of just planning them, this role is for you.

You’ll be responsible for:

• Launching campaigns across email, SMS, direct mail, and Facebook Ads
• Building and managing automations in GoHighLevel
• Creating and optimizing high-converting funnels in GHL
• Sourcing targeted email and mailing lists
• Contacting and negotiating with list brokers when needed
• Managing Facebook Marketplace listings for lead generation
• Tracking leads and optimizing CRM pipelines and follow-ups
• Turning growth ideas into live campaigns quickly

Strong Plus if you have:

• Experience in property management or real estate marketing
• Familiarity with Facebook Marketplace lead generation
• Experience running SMS campaigns
• Experience managing direct mail campaigns
• Experience sourcing niche marketing lists

This is not a content or social media role. Your focus will be executing marketing campaigns, building funnels, and creating automated lead generation systems.

If you’re an execution focused marketer who knows how to build campaigns and automations that generate leads, apply below.

Link in the comments. 🚀",https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,1600,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,2200,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,5,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,Remote LATAM role with USD salary. Clear salary range provided.,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44,Monthly salary.,https://www.linkedin.com/posts/joshuakain_hiring-latam-activity-7435324229325275136-PS44
HIRING Senior Marketing Manager B2B Corporate  LATAM Remote,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,Daniela Mejía Calle,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,20h,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,"🚀 HIRING: Senior Marketing Manager (B2B Corporate) – LATAM Remote 🌎

We are looking for a strategic person to engage CEOs & CFOs at large enterprises.

The Role: 
✅ Focus: B2B Corporate Strategy & Content. 
✅ Experience: 4-5+ years (Insurance/Corporate B2B preferred). 
✅ English: Native or C2 level (Strictly Required). 
✅ Tools: LinkedIn Expert + CRM (HubSpot/Salesforce).

The Offer: 
⏰ Part-time 20 hours per week | Remote (LATAM) 
🕒 Schedule: US Eastern Time (EST) 
💸 Rate: Up to $10.00 USD / hour 
👤 Report to: CEO

Interested? Reach out directly to our HR to apply: 📩 
‎Un gusto conectar 🙌
‎Soy Raúl Quevedo, CEO de 
 
‎
‎Nos gustaría apoyar en la difusión de su vacante dentro de nuestra comunidad profesional. Actualmente contamos con cobertura en Latinoamérica y España 🌍, conectando oportunidades con talento activo y calificado.
‎
‎La publicación y difusión no tiene costo.
‎
‎Pueden enviarnos la información de la vacante por los siguientes medios:
‎
‎📲 WhatsApp: https://

‎
‎Quedo atento para apoyarles 
‎🤝✨
‎
‎Raúl Quevedo
‎CEO | Gestión del Talento Digital
‎
‎#DifusiónDeVacantes
‎#ReclutamientoDigital
‎#TalentAcquisition
‎#RecursosHumanos
‎#EmpleoLatam
‎#EmpleoEspaña
‎#Hiring
‎#HRCommunity
‎#EmployerBranding
‎#Headhunting
‎#BolsaDeEmpleo
‎#NetworkingProfesional
‎#TalentoGlobal
‎",https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,10,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,,,4,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,Remote LATAM role with USD salary. Single salary value provided.,https://www.linkedin.com/posts/daniela-mej%C3%ADa-calle_marketingjobs-b2b-remotework-activity-7435388846667743232-Ochy,,
Were Hiring SDRs ONLY LATAM-based  Start Date March 15 2026,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,Cynthia H.,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,2d,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,"🚨 We’re Hiring SDRs (ONLY LATAM-based) — Start Date: March 15, 2026 

We are scaling the outbound team here at StemWave and I’m looking for absolute killers in outbound — not average, not “pretty good,” but proven performers.

If you’ve been carrying your team… this is for you.
If you’ve been hiding behind email and avoiding the phone… this is not for you. 😌

Compensation & Details

💰 Base: $$3,000 USD/month
🔥 Bonus: $50 per qualified, held set
📅 Start Date: March 15, 2026
🌎 Location: LATAM ONLY (remote)

Minimum Requirements — Non-Negotiable

✔️ Native or near-native English
✔️ PROVEN track record of 20+ qualified sets per month
✔️ Strong cold caller + follow-up discipline
✔️ Highly coachable, hungry, consistent
✔️ You actually love outbound — no pretenders

What You’ll Do

🔹 Pure outbound: calls + emails
🔹 Work territory lists
🔹 Book qualified meetings for AEs
🔹 Represent a high-impact medical device that genuinely improves patients’ lives — which makes selling WAY easier

To Apply — Read Carefully

📄 Send your resume and DM me “SDR LATAM” to apply.

We’re building an elite outbound team, if you’ve got the numbers and the hunger, I want to meet you. 💙🔥
Is this the going rate for SDR's in LATAM?

I""m not trying to be a shit disturber I promise, I just don't know the landscape for SDR's in LATAM too well.
Dang if I wasn’t so happy at my job, I’d jump here in a heartbeat! 🇲🇽y’all gotta apply why the offer is on the table! Show why Latam and 🇲🇽 is the place to hire👌
20+ qualified sets per month is a real filter. Most SDRs won't even apply.",https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,3000,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,,,4,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,Remote LATAM role with USD salary. Single salary value provided.,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA,Monthly salary.,https://www.linkedin.com/posts/cynthia-handal_were-hiring-sdrs-only-latam-based-activity-7434664420561195008-7gzA
Were Hiring Managing Editor AI-Assisted B2B Content,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,Lucía Posada Hassan,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,1d,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,"🚀 We’re Hiring: Managing Editor (AI-Assisted B2B Content) 
 Remote LATAM

Are you an experienced Managing Editor with a strong editorial background in B2B tech content? Our client, a fast-growing company in the industry, is looking for a talented Editor to join their team and help shape high-quality content throught AI!

🌍 Location: Remote (with at least 4 hours of overlap with PST)
💰 Compensation: $3,000 – $4,500 USD/month (based on experience)
 
🌟 Your Impact:
 As Managing Editor, you'll lead B2B content creation, ensuring high quality while leveraging AI-assisted workflows. Your focus will be on optimizing content through AI tools and maintaining editorial standards for technical content.

🛠 What You Bring:
 ✔ 3+ years of editorial experience, especially in B2B technical content.
✔ Hands-on experience with AI-assisted content creation (LLMs, context-driven workflows).
✔ Excellent communication skills and experience leading small editorial teams.

✨ Nice-to-Haves:
- Experience with technical SEO and keyword strategy.
- Bilingual or multilingual skills in any additional languages.
- Experience in a fast-paced startup environment.

📍 Apply here: 
 for your hiring? You can automate your entire recruitment process, even for free.",https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,3000,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,4500000000,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,5,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,Remote LATAM role with USD salary. Clear salary range provided.,https://www.linkedin.com/posts/luciaposada-itrecruiter_were-hiring-managing-editor-ai-assisted-activity-7434966474571759618-Yowd,,
Were Hiring FAST Client Operations Specialist Remote,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,Adlaide O.,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,3d,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,"We’re Hiring FAST: Client Operations Specialist (Remote)
Compensation: $800 to $1,000 USD per month

We are looking for a highly organized and client focused Client Operations Specialist to support onboarding, client operations, and ongoing engagement for a fast growing health tech platform. This is a high impact role where you will help ensure a seamless client experience, maintain accurate operational systems, and support long term client success.

Location: Remote
Open to candidates in Africa, LATAM, and Eastern Europe
Working Hours: 9 AM to 1 PM MST (aligned with U.S. client time zones)

Role Overview
You will serve as a key operational partner to clients, ensuring smooth onboarding, accurate data management, and proactive communication. You will support clients primarily through email, maintain structured systems across CRM and internal tools, and help drive strong adoption and satisfaction.

Key Responsibilities
- Manage client onboarding from initial setup to full platform configuration
- Organize and maintain provider data in structured spreadsheets and internal systems
- Ensure accuracy of client records across CRM, tracking documents, and platform dashboards
- Manage ongoing updates to provider lists including moves, adds, and changes
- Send scheduled reminders and follow ups to ensure timely client data submissions
- Support contract documentation by editing agreements and drafting addendums when needed
- Serve as the primary point of contact for clients, providing responsive and professional email support
- Troubleshoot issues, guide clients on best practices, and ensure smooth platform usage
- Track client engagement and proactively identify risks, issues, and opportunities for growth

Qualifications
- 2+ years of experience in client operations, customer support, onboarding, or account management
- Strong experience with CRM tools and Excel for tracking and reporting client data
- Medical or healthcare knowledge is advantageous but not required
- Excellent written and verbal communication skills in English
- Strong attention to detail and ability to manage multiple priorities
- Comfortable working in a fast paced, remote environment
- Proactive, solutions oriented, and able to work independently

Why This Role
You will play a central role in shaping the client experience for a rapidly growing health tech company, directly impacting client satisfaction, retention, and operational excellence. This role offers strong growth potential into more strategic client operations and success functions within a mission driven organization.

Application Process
- Complete the application form
- Submit a short video showcasing your skills and experience
- Apply here: 
I’m interested! Applied, let me know what the next steps are going to be 🙌🏻",https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,1000,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,,,4,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,Remote LATAM role with USD salary. Single salary value provided.,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py,Monthly salary.,https://www.linkedin.com/posts/adlaide-o-8059171a7_client-operations-specialist-activity-7434275849199095808-R2py
WERE HIRING AGAIN AND THIS TIME ITS FOR AN IN-HOUSE GTM ENGINEER,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,Saman Izadiyar,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,3h,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,"🔥 WE'RE HIRING (AGAIN)!!!! AND THIS TIME IT'S FOR AN IN-HOUSE GTM ENGINEER 🔥 

$500.00 USD BOUNTY FOR A REFERRAL THAT WE HIRE!!!!

The Role:
We need one person to own our entire cold email operation — campaigns, enrichment, deliverability, reporting, optimization.

-Full-time, fully remote
-8am–5pm PST, Monday–Friday
-Worldwide
-ASAP

Tools:
Clay — Enrichment, scraping, scoring, waterfall logic, and lead routing
StoreLeads — E-commerce company sourcing and filtering
RevyOps — Prospect data room, list management, and CRM sync
HubSpot — CRM, pipeline management, and sequences
Email Bison — Sending infrastructure, warmup, inbox rotation, and campaign execution
Email Guard — Domain health monitoring, blacklist alerts, authentication checks, and deliverability tracking


You need:
3+ years running cold email campaigns end to end
Hands-on with outbound tools (Email Bison, Instantly, or Smartlead)
Hands-on with enrichment tools (Clay)
Set up sending domains yourself — DNS, SPF, DKIM, DMARC, warmup, rotation
Clean sender reputation track record across multiple domains
CRM experience (HubSpot preferred)
Strong written English

To Apply:

Hi Saman! Would it help to have 3 pre-vetted GTM Eng candidates ready by end of week? There’s no upfront cost to review profiles. 
? you can post a job for free and get access to candidates instantly.",https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,500,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,,,3,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,Remote LATAM role with USD salary. Candidate location not explicitly restricted to LATAM/Brazil. Single salary value provided.,https://www.linkedin.com/posts/saman-izadiyar_ottit-gtm-engineer-application-030326-activity-7434768339954139136-jZNs,,
Were hiring New remote roles open for LATAM professionals,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,HireLATAM,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,5d,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,"🚀 We’re hiring! New remote roles open for LATAM professionals 🌎

Ready to work with U.S. companies and grow your career from home? Check out these opportunities:

📞 Remote Outbound Sales & Scheduling Specialist
💰 $1,200 USD/month base + $100 per won deal
🕒 Monday – Friday, 7:00 AM – 3:30 PM EST
🔗 


🖥️ Remote Helpdesk Manager – MSP Leadership
💰 $2,000 – $2,500 USD/month
🕒 Monday – Friday, 8:00 AM – 5:00 PM EST
🔗 


📈 Remote Junior Growth Marketing Specialist
💰 $1,000 – $2,000 USD/month
🕒 Monday – Friday, 9:00 AM – 6:00 PM EST
🔗 


🚀 Remote Growth Marketing Manager – eCommerce & Lead Gen
💰 $1,800 – $2,500 USD/month
🕒 Monday – Friday, 9:00 AM – 6:00 PM EST
🔗 


All roles are 100% remote from Latin America, full-time, and aligned with U.S. time zones.

Apply through the links above and take the next step in your remote career. 🌍


You never proceed with any application, now it says that the client put on hold the application. Very unprofessional, sorry to say",https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,1000,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,2000,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,5,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,Remote LATAM role with USD salary. Clear salary range provided.,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt,Monthly salary.,https://www.linkedin.com/posts/hirelatam_hirelatam-latamjobs-remotework-activity-7429917910976045057-doGt
